Horizon started successfully.
[2019-05-13 22:49:21][47] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:21][47] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:21][48] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:22][48] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:22][49] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:22][49] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:22][50] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:23][50] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:23][51] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:24][51] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:24][52] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:25][52] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:25][53] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:25][53] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:25][54] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:26][54] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:26][55] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:26][55] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:26][56] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:27][56] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:27][57] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:28][57] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:28][58] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:28][58] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:28][59] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:29][59] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:29][60] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:30][60] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:30][61] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:30][61] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:30][62] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:31][62] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:31][63] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:31][63] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:31][64] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:32][64] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:32][65] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:33][65] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:33][66] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:33][66] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:33][67] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:34][67] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:34][68] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:35][68] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:35][69] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:35][69] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:35][70] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:36][70] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:36][71] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:36][71] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:36][72] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:37][72] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:37][73] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:38][73] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:38][74] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:38][74] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:38][75] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:39][75] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:39][76] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:40][76] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:40][77] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:40][77] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:40][78] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:41][78] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:41][79] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:41][79] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:41][80] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:42][80] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:42][81] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:43][81] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:43][82] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:43][82] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:43][83] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:44][83] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:44][84] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:44][84] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:44][85] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:45][85] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:45][86] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:46][86] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:46][87] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:46][87] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:46][88] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:47][88] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:47][89] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:48][89] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:48][90] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:48][90] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:48][91] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:49][91] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:49][92] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:50][92] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:50][93] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:50][93] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:50][94] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:51][94] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:51][95] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:51][95] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:51][96] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:52][96] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:52][97] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:53][97] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:53][98] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:53][98] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:53][99] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:54][99] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:54][100] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:55][100] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:55][101] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:55][101] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:55][102] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:56][102] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:56][103] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:57][103] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:57][104] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:57][104] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:57][105] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:58][105] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:58][106] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:59][106] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:59][107] Processing: App\Jobs\ProcessDois
[2019-05-13 22:49:59][107] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:49:59][108] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:00][108] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:00][109] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:01][109] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:01][110] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:01][110] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:01][111] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:02][111] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:02][112] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:03][112] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:03][113] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:03][113] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:03][114] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:04][114] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:04][115] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:05][115] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:05][116] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:05][116] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:05][117] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:06][117] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:06][118] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:07][118] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:07][119] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:08][119] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:08][120] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:08][120] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:08][121] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:09][121] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:09][122] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:10][122] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:10][123] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:10][123] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:10][124] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:11][124] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:11][125] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:11][125] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:11][126] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:12][126] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:12][127] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:13][127] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:13][128] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:14][128] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:14][129] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:14][129] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:14][130] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:15][130] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:15][131] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:15][131] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:15][132] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:16][132] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:16][133] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:17][133] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:17][134] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:18][134] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:18][135] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:18][135] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:18][136] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:19][136] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:19][137] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:19][137] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:19][138] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:20][138] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:20][139] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:21][139] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:21][140] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:21][140] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:21][141] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:22][141] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:22][142] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:23][142] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:23][143] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:23][143] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:24][144] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:24][144] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:24][145] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:25][145] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:25][146] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:25][146] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:25][147] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:26][147] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:26][148] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:27][148] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:27][149] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:27][149] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:27][150] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:28][150] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:28][151] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:29][151] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:29][152] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:30][152] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:30][153] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:30][153] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:30][154] Processing: App\Jobs\ProcessDois
